/* DATA DESCRIPTION:
Citation:	Llorente, Mireia; Rovira, Pere; Merino, Agustín; Rubio, Agustín; Turrión, MaBelén; Badía, David; Romanya, Joan; González, Jordi Cortina José Antonio (2018): Physical and chemical characteristics of soil horizons from the CARBOSOL Database of Spain [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.884514, 
	In: Llorente, M et al. (2018): The CARBOSOL Database: a georeferenced soil profile analytical database for Spain [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.884517
Further details:	Llorente, Mireia; Rovira, Pere; Merino, Agustín; Rubio, Agustín; Turrión, MaBelén; Badía, David; Romanya, Joan; González, Jordi Cortina José Antonio (2018): Further information to the CARBOSOL Database of Spain [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.884515
Coverage:	MEDIAN LATITUDE: 40.597643 * MEDIAN LONGITUDE: -3.267823 * SOUTH-BOUND LATITUDE: 36.032343 * WEST-BOUND LONGITUDE: -9.104709 * NORTH-BOUND LATITUDE: 43.733352 * EAST-BOUND LONGITUDE: 4.060389
	MINIMUM DEPTH, sediment/rock: 0.005 m * MAXIMUM DEPTH, sediment/rock: 5.300 m
Event(s):	CARBOSOL_DB (CARBOSOL Database Spain) * LATITUDE: 40.308250 * LONGITUDE: -3.732393 * METHOD/DEVICE: Soil profile (SOIL)
Parameter(s):	Province (Province) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Location (Location) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	LATITUDE (Latitude) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	LONGITUDE (Longitude) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	UTM Easting, Universal Transverse Mercator [m] (UTM east) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	UTM Northing, Universal Transverse Mercator [m] (UTM north) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Sample ID (Sample ID) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Unique identification number of horizon
	Sample ID (Sample ID) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Unique identification number of profile
	Horizon (Horizon) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Horizon name in the original reference
	Position (Position) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Horizon position in the soil profile
	Position (Position) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Horizon relative position in the soil profile
	Depth, top/min [m] (Depth top) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Depth, bottom/max [m] (Depth bot) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Thickness [m] (Thick) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Color code HLS-system (Color HLS) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Density [g/cm**3] (Density) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Lithogenic material [%] (Litho) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es) * COMMENT: Coarse material
	Sand [%] (Sand) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Silt [%] (Silt) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Clay minerals [%] (Clay min) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Organic matter [%] (OM) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Carbon, organic, total [%] (TOC) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	pH (pH) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Carbonates [%] (Carb) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Carbon/Nitrogen ratio (C/N) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Nitrogen, total [mg/kg] (TN) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Phosphorus [mg/kg] (P) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Potassium [mg/kg] (K) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Calcium [mg/kg] (Ca) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Magnesium [mg/kg] (Mg) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Sodium [mg/kg] (Na) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Cation exchange capacity [cmol/kg] (CEC) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Conductivity, electrical [mS/m] (EC) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
	Gypsum [%] (Gp) * PI: Llorente, Mireia (https://orcid.org/0000-0002-1990-6692, mireia.llorente@uva.es)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	503563 data points
*/
Province	Location	Latitude	Longitude	UTM east [m]	UTM north [m]	Sample ID (Unique identification number ...)	Sample ID (Unique identification number ...)	Horizon (Horizon name in the original ...)	Position (Horizon position in the soil ...)	Position (Horizon relative position in ...)	Depth top [m]	Depth bot [m]	Depth sed [m]	Thick [m]	Color HLS	Density [g/cm**3]	Litho [%] (Coarse material)	Sand [%]	Silt [%]	Clay min [%]	OM [%]	TOC [%]	pH	Carb [%]	C/N	TN [mg/kg]	P [mg/kg]	K [mg/kg]	Ca [mg/kg]	Mg [mg/kg]	Na [mg/kg]	CEC [cmol/kg]	EC [mS/m]	Gp [%]
VALLADOLID	TORDESILLAS	41.4899	-5.0113	332100	4595100	1	1	Au1	1	initial position	0.00	0.10	0.050	0.10			0.05	98.2	1.3	0.5	0.34	0.20	5.91		0.66	3000	2.13	10.02					3	
VALLADOLID	TORDESILLAS	41.4899	-5.0113	332100	4595100	2	1	Au2	2	medium position	0.10	0.47	0.285	0.37			0.09	95.7	3.5	0.8	0.14	0.08	6.32										2	
VALLADOLID	TORDESILLAS	41.4899	-5.0113	332100	4595100	3	1	2C	3	final position	0.47	0.60	0.535	0.13			2.45	62.8	29.1	8.1	0.23	0.13	6.82										17	
LA RIOJA	NAJERA	42.4142	-2.7363	521700	4695800	4	2	Ak	1	initial position	0.00	0.15	0.075	0.15			16.20	37.0	48.0	15.0	4.19	2.44	7.58		14.95	1630	1.78	135.70					60	
LA RIOJA	NAJERA	42.4142	-2.7363	521700	4695800	5	2	Bs	2	medium position	0.15	0.38	0.265	0.23			10.50	32.3	48.2	19.5	3.14	1.83	7.90										73	
LA RIOJA	NAJERA	42.4142	-2.7363	521700	4695800	6	2	2Bsk	3	final position	0.38	0.82	0.600	0.44			43.40	43.6	53.6	2.8	1.07	0.62	7.82										24	
SEGOVIA	CUELLAR	41.3465	-4.2670	394000	4578000	7	3	A	1	initial position	0.00	0.28	0.140	0.28			0.30	96.0	2.0	2.0	0.77	0.45	5.63		2.13	2100	1.24	103.19					3	
SEGOVIA	CUELLAR	41.3465	-4.2670	394000	4578000	8	3	Bw1	2	medium position	0.28	0.48	0.380	0.20			0.14	96.1	3.0	0.9	0.19	0.11	5.98										1	
SEGOVIA	CUELLAR	41.3465	-4.2670	394000	4578000	9	3	Bw2	3	medium position	0.48	0.80	0.640	0.32			0.25	97.2	2.0	0.8	0.10	0.06	6.47										1	
SEGOVIA	CUELLAR	41.3465	-4.2670	394000	4578000	10	3	C	4	final position	0.80	1.00	0.900	0.20			0.13	98.9	1.1	0.0	0.07	0.04	6.64										1	
BADAJOZ	LA PARRA	38.5071	-6.6181	184495	4268287	11	4	Ae	1	initial position	0.00	0.15	0.075	0.15			22.67	38.0	47.0	15.0	1.81	1.05	5.65		6.58	1600	5.98	320.00					4	
BADAJOZ	LA PARRA	38.5071	-6.6181	184495	4268287	12	4	A/Bs	2	medium position	0.15	0.40	0.275	0.25			24.97	40.0	45.0	15.0	0.49	0.28	4.58										5	
BADAJOZ	LA PARRA	38.5071	-6.6181	184495	4268287	13	4	Bs/C	3	final position	0.40	0.85	0.625	0.45			79.26	43.0	39.0	18.0	0.43	0.25	6.17										3	
ZARAGOZA	ANON	41.7826	-1.7449	604300	4626400	14	5	A	1	initial position	0.00	0.10	0.050	0.10			43.75	49.4	37.6	13.0	3.23	1.88	4.38		13.41	1400	2.71	93.97					5	
ZARAGOZA	ANON	41.7826	-1.7449	604300	4626400	15	5	E1	2	medium position	0.10	0.30	0.200	0.20			50.48	48.4	36.3	15.3	1.20	0.70	4.26										5	
ZARAGOZA	ANON	41.7826	-1.7449	604300	4626400	16	5	E2	3	medium position	0.30	0.70	0.500	0.40			37.95	48.2	36.2	15.6	0.55	0.32	4.61										5	
ZARAGOZA	ANON	41.7826	-1.7449	604300	4626400	17	5	Bts/C	4	final position	0.70	1.00	0.850	0.30			52.51	45.0	36.0	19.0	0.25	0.15	4.67										3	
SORIA	MONTEJO DE TIERMES	41.3507	-3.1805	484900	4577700	18	6	A	1	initial position	0.00	0.15	0.075	0.15			10.98	66.8	22.0	11.2	1.15	0.67	4.68		7.43	900	2.14	73.00					4	
SORIA	MONTEJO DE TIERMES	41.3507	-3.1805	484900	4577700	19	6	Bs1	2	medium position	0.15	0.55	0.350	0.40			20.12	70.9	20.3	8.8	0.31	0.18	4.70										2	
SORIA	MONTEJO DE TIERMES	41.3507	-3.1805	484900	4577700	20	6	Bs2	3	medium position	0.55	0.80	0.675	0.25			45.78	72.9	21.6	5.5	0.14	0.08	4.96										2	
SORIA	MONTEJO DE TIERMES	41.3507	-3.1805	484900	4577700	21	6	C	4	final position	0.80	1.00	0.900	0.20			80.62	74.5	17.5	8.0	0.12	0.07	4.70										3	
VALLADOLID	BERCERUELO	41.5823	-5.0324	330584	4605396	22	7	A	1	initial position	0.00	0.05	0.025	0.05			3.67	12.4	48.5	39.1	1.90	1.10	7.43		7.36	1500	1.79	276.32					22	
VALLADOLID	BERCERUELO	41.5823	-5.0324	330584	4605396	23	7	Ek	2	medium position	0.05	0.35	0.200	0.30			7.22	13.2	55.5	31.3	0.62	0.36	7.74										16	
VALLADOLID	BERCERUELO	41.5823	-5.0324	330584	4605396	24	7	Btk	3	medium position	0.35	0.85	0.600	0.50			6.23	12.2	48.0	39.8	0.77	0.45	7.83										19	
VALLADOLID	BERCERUELO	41.5823	-5.0324	330584	4605396	25	7	C	4	final position	0.85	1.00	0.925	0.15			2.55	7.3	68.7	24.0	0.59	0.34	7.97										19	
CUENCA	CUENCA	40.1132	-2.0805	578359	4440725	26	8	A	1	initial position	0.00	0.18	0.090	0.18			1.43	19.2	37.2	43.6	2.79	1.62	7.53		8.11	2000	2.89	312.26					27	
CUENCA	CUENCA	40.1132	-2.0805	578359	4440725	27	8	Bw	2	medium position	0.18	0.34	0.260	0.16			12.81	39.3	28.0	32.7	1.68	0.98	7.69										17	
CUENCA	CUENCA	40.1132	-2.0805	578359	4440725	28	8	C1	3	medium position	0.34	0.50	0.420	0.16			28.34	60.8	19.2	20.0	0.69	0.40	7.80										16	
CUENCA	CUENCA	40.1132	-2.0805	578359	4440725	29	8	C2	4	final position	0.50	1.00	0.750	0.50			54.65	76.3	10.8	12.9	0.36	0.21	8.00										13	
CANTABRIA	LOS TOJOS	43.1491	-4.1922	403060	4778060	30	9	Ahe	1	initial position	0.00	0.10	0.050	0.10			11.92	33.8	52.8	13.4	14.90	8.66			14.94	5800	1.71	121.36					11	
CANTABRIA	LOS TOJOS	43.1491	-4.1922	403060	4778060	31	9	A	2	medium position	0.10	0.25	0.175	0.15			33.85	25.9	52.5	21.6	5.06	2.94											11	
CANTABRIA	LOS TOJOS	43.1491	-4.1922	403060	4778060	32	9	E	3	medium position	0.25	0.50	0.375	0.25			47.48	33.6	48.6	17.8	2.56	1.49											5	
CANTABRIA	LOS TOJOS	43.1491	-4.1922	403060	4778060	33	9	Bts	4	final position	0.50	1.00	0.750	0.50			78.79	28.2	50.7	21.1	1.00	0.58	4.27										4	
LEON	RIELLO	42.8624	-5.9305	260600	4749700	34	10	A	1	initial position	0.00	0.20	0.100	0.20			63.30	72.0	15.0	13.0	4.72	2.74	4.21		13.07	2100	4.83	104.98					5	
